Date,Price
,2.366
,2.387
01/01/2007,2.382
,2.354
,2.28
,2.216
,2.213
,2.237
,2.287
,2.341
,2.428
,2.551
,2.605
,2.623
,2.655
,2.753
,2.848
,2.922
,2.917
,3.017
,3.097
,3.143
,3.258
,3.25
,3.2
,3.122
,3.057
,3.029
,3.005
,3.026
,3.092
,3.005
,2.926
,2.888
,2.821
,2.832
,2.796
,2.84
,2.862
,2.835
,2.86
,2.838
,2.821
,2.813
,2.873
,2.921
,3.06
,3.158
,3.148
,3.147
,3.113
,3.053
,3.05
,3.032
,3.104
01/07/2008,3.159
,3.119
,3.07
,3.03
,3.03
,3.011
,3.092
,3.18
,3.212
,3.273
,3.332
,3.31
,3.339
,3.381
,3.438
,3.557
,3.653
,3.663
,3.771
,3.84
,3.986
,4.026
,4.09
,4.134
,4.131
,4.146
,4.165
,4.164
,4.118
,4.01
,3.935
,3.864
,3.794
,3.738
,3.733
,3.701
,3.887
,3.772
,3.687
,3.543
,3.213
,2.974
,2.718
,2.462
,2.284
,2.132
,1.952
,1.87
,1.758
,1.716
,1.71
,1.67
01/05/2009,1.737
,1.835
,1.898
,1.89
,1.944
,1.978
,2.016
,1.963
,1.988
,1.993
,1.964
,2.014
,2.097
,2.09
,2.104
,2.112
,2.102
,2.129
,2.29
,2.36
,2.485
,2.572
,2.673
,2.722
,2.743
,2.695
,2.666
,2.584
,2.519
,2.557
,2.61
,2.7
,2.691
,2.682
,2.667
,2.642
,2.632
,2.607
,2.554
,2.523
,2.543
,2.626
,2.727
,2.746
,2.72
,2.684
,2.694
,2.684
,2.689
,2.655
,2.645
,2.662
01/04/2010,2.718
,2.804
,2.793
,2.76
,2.717
,2.707
,2.664
,2.709
,2.756
,2.804
,2.841
,2.87
,2.851
,2.877
,2.909
,2.911
,2.901
,2.95
,2.958
,2.918
,2.842
,2.784
,2.78
,2.756
,2.795
,2.809
,2.779
,2.771
,2.775
,2.801
,2.788
,2.835
,2.798
,2.759
,2.736
,2.735
,2.772
,2.775
,2.747
,2.784
,2.871
,2.887
,2.87
,2.861
,2.917
,2.944
,2.931
,2.912
,3.013
,3.035
,3.037
,3.106
01/03/2011,3.124
,3.142
,3.158
,3.163
,3.155
,3.185
,3.193
,3.243
,3.435
,3.572
,3.621
,3.617
,3.65
,3.737
,3.843
,3.896
,3.932
,4.014
,4.018
,4.014
,3.904
,3.848
,3.833
,3.767
,3.708
,3.631
,3.634
,3.695
,3.736
,3.754
,3.766
,3.73
,3.662
,3.638
,3.682
,3.727
,3.715
,3.657
,3.568
,3.492
,3.476
,3.533
,3.52
,3.511
,3.482
,3.495
,3.427
,3.368
,3.35
,3.346
,3.29
,3.317
01/02/2012,3.358
,3.441
,3.451
,3.45
,3.5
,3.542
,3.584
,3.652
,3.78
,3.849
,3.884
,3.923
,3.973
,3.996
,3.997
,3.98
,3.929
,3.889
,3.849
,3.814
,3.773
,3.728
,3.671
,3.629
,3.589
,3.494
,3.415
,3.469
,3.485
,3.554
,3.568
,3.702
,3.779
,3.803
,3.837
,3.903
,3.907
,3.939
,3.889
,3.866
,3.914
,3.886
,3.756
,3.638
,3.563
,3.518
,3.497
,3.505
,3.463
,3.419
,3.324
,3.328
,3.369
01/07/2013,3.373
,3.377
,3.386
,3.427
,3.604
,3.677
,3.812
,3.851
,3.826
,3.779
,3.764
,3.746
,3.714
,3.676
,3.611
,3.603
,3.587
,3.602
,3.665
,3.729
,3.704
,3.705
,3.715
,3.689
,3.645
,3.567
,3.563
,3.706
,3.751
,3.716
,3.701
,3.633
,3.622
,3.623
,3.678
,3.658
,3.619
,3.567
,3.499
,3.441
,3.43
,3.435
,3.372
,3.343
,3.274
,3.298
,3.372
,3.353
,3.35
,3.321
,3.351
,3.409
01/06/2014,3.411
,3.406
,3.376
,3.375
,3.372
,3.388
,3.457
,3.52
,3.553
,3.584
,3.619
,3.622
,3.651
,3.67
,3.725
,3.758
,3.788
,3.761
,3.746
,3.743
,3.75
,3.765
,3.749
,3.76
,3.778
,3.778
,3.753
,3.712
,3.671
,3.617
,3.595
,3.582
,3.549
,3.532
,3.536
,3.534
,3.485
,3.432
,3.434
,3.382
,3.292
,3.205
,3.139
,3.077
,3.025
,2.978
,2.907
,2.864
,2.767
,2.643
,2.496
,2.392
01/05/2015,2.308
,2.232
,2.157
,2.133
,2.154
,2.276
,2.358
,2.415
,2.556
,2.57
,2.537
,2.538
,2.531
,2.499
,2.494
,2.57
,2.656
,2.749
,2.776
,2.827
,2.857
,2.863
,2.863
,2.918
,2.895
,2.885
,2.877
,2.92
,2.888
,2.833
,2.779
,2.72
,2.803
,2.726
,2.602
,2.532
,2.471
,2.425
,2.418
,2.415
,2.432
,2.374
,2.326
,2.322
,2.335
,2.281
,2.198
,2.165
,2.159
,2.144
,2.133
,2.141
01/04/2016,2.135
,2.104
,2.022
,1.965
,1.932
,1.87
,1.834
,1.837
,1.887
,1.943
,2.062
,2.109
,2.169
,2.185
,2.173
,2.24
,2.265
,2.342
,2.325
,2.345
,2.403
,2.44
,2.482
,2.499
,2.455
,2.432
,2.396
,2.359
,2.336
,2.289
,2.267
,2.256
,2.256
,2.299
,2.341
,2.329
,2.31
,2.333
,2.334
,2.354
,2.381
,2.367
,2.353
,2.341
,2.345
,2.298
,2.269
,2.268
,2.321
,2.347
,2.375
,2.419
01/02/2017,2.485
,2.496
,2.467
,2.436
,2.408
,2.405
,2.418
,2.414
,2.427
,2.452
,2.434
,2.433
,2.428
,2.471
,2.534
,2.546
,2.559
,2.522
,2.484
,2.481
,2.51
,2.516
,2.525
,2.479
,2.433
,2.404
,2.376
,2.411
,2.392
,2.426
,2.467
,2.492
,2.497
,2.474
,2.513
,2.794
,2.8
,2.75
,2.701
,2.682
,2.622
,2.605
,2.594
,2.602
,2.673
,2.706
,2.683
,2.648
,2.617
,2.601
,2.568
,2.589
01/01/2018,2.637
,2.639
,2.673
,2.684
,2.723
,2.753
,2.724
,2.676
,2.666
,2.679
,2.677
,2.716
,2.764
,2.817
,2.811
,2.863
,2.914
,2.961
,2.96
,2.949
,2.999
,3.039
,3.018
,2.989
,2.958
,2.913
,2.924
,2.937
,2.943
,2.911
,2.924
,2.93
,2.921
,2.9
,2.906
,2.903
,2.912
,2.921
,2.923
,2.947
,2.984
,2.961
,2.925
,2.896
,2.84
,2.773
,2.7
,2.63
,2.544
,2.511
,2.46
,2.413
,2.358
01/07/2019,2.329
,2.338
,2.34
,2.343
,2.341
,2.361
,2.4
,2.471
,2.502
,2.549
,2.625
,2.701
,2.77
,2.826
,2.912
,2.926
,2.972
,2.983
,2.954
,2.939
,2.909
,2.893
,2.821
,2.759
,2.741
,2.798
,2.827
,2.86
,2.833
,2.798
,2.772
,2.71
,2.684
,2.661
,2.651
,2.638
,2.64
,2.741
,2.737
,2.742
,2.727
,2.735
,2.692
,2.702
,2.711
,2.688
,2.672
,2.667
,2.652
,2.627
,2.621
,2.658
01/06/2020,2.665
,2.657
,2.625
,2.595
,2.546
,2.511
,2.518
,2.555
,2.514
,2.468
,2.343
,2.217
,2.103
,2.022
,1.951
,1.91
,1.87
,1.883
,1.941
,1.969
,2.049
,2.064
,2.123
,2.185
,2.216
,2.26
,2.265
,2.283
,2.275
,2.265
,2.266
,2.256
,2.256
,2.272
,2.311
,2.302
,2.274
,2.259
,2.259
,2.262
,2.257
,2.24
,2.234
,2.204
,2.188
