Date,Price
1995,1.16
1996,1.24
1997,1.25
1998,1.07
1999,1.18
2000,1.52
2001,1.46
2002,1.39
2003,1.6
2004,1.9
2005,1.31
2006,2.62
2007,2.84
2008,3.3
2009,2.41
2010,2.84
2011,3.58
2012,3.68
2013,3.58
2014,3.44
2015,2.52
2016,2.25
2017,2.53
2018,2.81
2019,2.69
2020,2.26
2021,2.17
